REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
Simplicity2,WINDPOWER,1,2010,0.93673773
Simplicity2,WINDPOWER,2,2010,0.938652022
Simplicity2,WINDPOWER,3,2010,0.937990743
Simplicity2,WINDPOWER,4,2010,0.934069019
Simplicity2,WINDPOWER,5,2010,0.934757548
Simplicity2,WINDPOWER,6,2010,0.920766085
Simplicity2,WINDPOWER,7,2010,0.877417742
Simplicity2,WINDPOWER,8,2010,0.855826402
Simplicity2,WINDPOWER,9,2010,0.720497732
Simplicity2,WINDPOWER,10,2010,0.335716461
Simplicity2,WINDPOWER,11,2010,0.171680565
Simplicity2,WINDPOWER,12,2010,0.063613341
Simplicity2,WINDPOWER,13,2010,0.01291621
Simplicity2,WINDPOWER,14,2010,0.033133507
Simplicity2,WINDPOWER,15,2010,0.110694603
Simplicity2,WINDPOWER,16,2010,0.128186736
Simplicity2,WINDPOWER,17,2010,0.081686012
Simplicity2,WINDPOWER,18,2010,0.07920451
Simplicity2,WINDPOWER,19,2010,0.088568527
Simplicity2,WINDPOWER,20,2010,0.071197655
Simplicity2,WINDPOWER,21,2010,0.041065326
Simplicity2,WINDPOWER,22,2010,0.035774675
Simplicity2,WINDPOWER,23,2010,0.042731446
Simplicity2,WINDPOWER,24,2010,0.028519818
Simplicity2,WINDPOWER,25,2010,0.065323803
Simplicity2,WINDPOWER,26,2010,0.031347502
Simplicity2,WINDPOWER,27,2010,0.042242275
Simplicity2,WINDPOWER,28,2010,0.041662732
Simplicity2,WINDPOWER,29,2010,0.182074107
Simplicity2,WINDPOWER,30,2010,0.611853721
Simplicity2,WINDPOWER,31,2010,0.898082406
Simplicity2,WINDPOWER,32,2010,0.890876387
Simplicity2,WINDPOWER,33,2010,0.889333535
Simplicity2,WINDPOWER,34,2010,0.857368367
Simplicity2,WINDPOWER,35,2010,0.908357623
Simplicity2,WINDPOWER,36,2010,0.938478095
Simplicity2,WINDPOWER,37,2010,0.93860649
Simplicity2,WINDPOWER,38,2010,0.936899898
Simplicity2,WINDPOWER,39,2010,0.934708979
Simplicity2,WINDPOWER,40,2010,0.871559674
Simplicity2,WINDPOWER,41,2010,0.804527871
Simplicity2,WINDPOWER,42,2010,0.694401987
Simplicity2,WINDPOWER,43,2010,0.804049715
Simplicity2,WINDPOWER,44,2010,0.93416414
Simplicity2,WINDPOWER,45,2010,0.938768185
Simplicity2,WINDPOWER,46,2010,0.938768185
Simplicity2,WINDPOWER,47,2010,0.843829811
Simplicity2,WINDPOWER,48,2010,0.909302932
Simplicity2,WINDPOWER,49,2010,0.923824086
Simplicity2,WINDPOWER,50,2010,0.910778939
Simplicity2,WINDPOWER,51,2010,0.910432495
Simplicity2,WINDPOWER,52,2010,0.91573311
Simplicity2,WINDPOWER,53,2010,0.938691475
Simplicity2,WINDPOWER,54,2010,0.938768185
Simplicity2,WINDPOWER,55,2010,0.938768185
Simplicity2,WINDPOWER,56,2010,0.938768185
Simplicity2,WINDPOWER,57,2010,0.938768185
Simplicity2,WINDPOWER,58,2010,0.938768185
Simplicity2,WINDPOWER,59,2010,0.938768185
Simplicity2,WINDPOWER,60,2010,0.938768185
Simplicity2,WINDPOWER,61,2010,0.938768185
Simplicity2,WINDPOWER,62,2010,0.938768185
Simplicity2,WINDPOWER,63,2010,0.938768185
Simplicity2,WINDPOWER,64,2010,0.938768185
Simplicity2,WINDPOWER,65,2010,0.938768185
Simplicity2,WINDPOWER,66,2010,0.938768185
Simplicity2,WINDPOWER,67,2010,0.938768185
Simplicity2,WINDPOWER,68,2010,0.938768185
Simplicity2,WINDPOWER,69,2010,0.938768185
Simplicity2,WINDPOWER,70,2010,0.938768185
Simplicity2,WINDPOWER,71,2010,0.938768185
Simplicity2,WINDPOWER,72,2010,0.938768185
Simplicity2,WINDPOWER,73,2010,0.938768185
Simplicity2,WINDPOWER,74,2010,0.938768185
Simplicity2,WINDPOWER,75,2010,0.938768185
Simplicity2,WINDPOWER,76,2010,0.938768185
Simplicity2,WINDPOWER,77,2010,0.938768185
Simplicity2,WINDPOWER,78,2010,0.938768185
Simplicity2,WINDPOWER,79,2010,0.938768185
Simplicity2,WINDPOWER,80,2010,0.938768185
Simplicity2,WINDPOWER,81,2010,0.934859883
Simplicity2,WINDPOWER,82,2010,0.900691935
Simplicity2,WINDPOWER,83,2010,0.758034991
Simplicity2,WINDPOWER,84,2010,0.684568276
Simplicity2,WINDPOWER,85,2010,0.423401578
Simplicity2,WINDPOWER,86,2010,0.193677
Simplicity2,WINDPOWER,87,2010,0.121833919
Simplicity2,WINDPOWER,88,2010,0.066321143
Simplicity2,WINDPOWER,89,2010,0.012649318
Simplicity2,WINDPOWER,90,2010,0.040039249
Simplicity2,WINDPOWER,91,2010,0.087712317
Simplicity2,WINDPOWER,92,2010,0.095460107
Simplicity2,WINDPOWER,93,2010,0.072045145
Simplicity2,WINDPOWER,94,2010,0.061586953
Simplicity2,WINDPOWER,95,2010,0.052388171
Simplicity2,WINDPOWER,96,2010,0.134793378
Simplicity2,WINDPOWER,97,2010,0.198180334
Simplicity2,WINDPOWER,98,2010,0.312341342
Simplicity2,WINDPOWER,99,2010,0.536333174
Simplicity2,WINDPOWER,100,2010,0.698853919
Simplicity2,WINDPOWER,101,2010,0.774224329
Simplicity2,WINDPOWER,102,2010,0.838880439
Simplicity2,WINDPOWER,103,2010,0.893067743
Simplicity2,WINDPOWER,104,2010,0.90803917
Simplicity2,WINDPOWER,105,2010,0.926613878
Simplicity2,WINDPOWER,106,2010,0.934733079
Simplicity2,WINDPOWER,107,2010,0.937583273
Simplicity2,WINDPOWER,108,2010,0.936552798
Simplicity2,WINDPOWER,109,2010,0.933450234
Simplicity2,WINDPOWER,110,2010,0.926974073
Simplicity2,WINDPOWER,111,2010,0.905756975
Simplicity2,WINDPOWER,112,2010,0.825019623
Simplicity2,WINDPOWER,113,2010,0.819885358
Simplicity2,WINDPOWER,114,2010,0.770786456
Simplicity2,WINDPOWER,115,2010,0.754970586
Simplicity2,WINDPOWER,116,2010,0.654199532
Simplicity2,WINDPOWER,117,2010,0.624245271
Simplicity2,WINDPOWER,118,2010,0.677132081
Simplicity2,WINDPOWER,119,2010,0.785940159
Simplicity2,WINDPOWER,120,2010,0.818620673
Simplicity2,WINDPOWER,121,2010,0.865369115
Simplicity2,WINDPOWER,122,2010,0.850124507
Simplicity2,WINDPOWER,123,2010,0.857277092
Simplicity2,WINDPOWER,124,2010,0.899454826
Simplicity2,WINDPOWER,125,2010,0.932412697
Simplicity2,WINDPOWER,126,2010,0.938101227
Simplicity2,WINDPOWER,127,2010,0.938622849
Simplicity2,WINDPOWER,128,2010,0.938768185
Simplicity2,WINDPOWER,129,2010,0.938768185
Simplicity2,WINDPOWER,130,2010,0.938768185
Simplicity2,WINDPOWER,131,2010,0.938768185
Simplicity2,WINDPOWER,132,2010,0.938768185
Simplicity2,WINDPOWER,133,2010,0.938768185
Simplicity2,WINDPOWER,134,2010,0.938768185
Simplicity2,WINDPOWER,135,2010,0.938768185
Simplicity2,WINDPOWER,136,2010,0.938768185
Simplicity2,WINDPOWER,137,2010,0.938768185
Simplicity2,WINDPOWER,138,2010,0.938768185
Simplicity2,WINDPOWER,139,2010,0.938768185
Simplicity2,WINDPOWER,140,2010,0.938768185
Simplicity2,WINDPOWER,141,2010,0.938768185
Simplicity2,WINDPOWER,142,2010,0.938768185
Simplicity2,WINDPOWER,143,2010,0.938768185
Simplicity2,WINDPOWER,144,2010,0.938768185
Simplicity2,WINDPOWER,145,2010,0.938768185
Simplicity2,WINDPOWER,146,2010,0.938768185
Simplicity2,WINDPOWER,147,2010,0.938768185
Simplicity2,WINDPOWER,148,2010,0.938768185
Simplicity2,WINDPOWER,149,2010,0.938768185
Simplicity2,WINDPOWER,150,2010,0.938751453
Simplicity2,WINDPOWER,151,2010,0.938677068
Simplicity2,WINDPOWER,152,2010,0.938624377
Simplicity2,WINDPOWER,153,2010,0.938656677
Simplicity2,WINDPOWER,154,2010,0.938666803
Simplicity2,WINDPOWER,155,2010,0.937758922
Simplicity2,WINDPOWER,156,2010,0.921791594
Simplicity2,WINDPOWER,157,2010,0.875158896
Simplicity2,WINDPOWER,158,2010,0.892728384
Simplicity2,WINDPOWER,159,2010,0.922352065
Simplicity2,WINDPOWER,160,2010,0.917417262
Simplicity2,WINDPOWER,161,2010,0.866164997
Simplicity2,WINDPOWER,162,2010,0.89772809
Simplicity2,WINDPOWER,163,2010,0.922831047
Simplicity2,WINDPOWER,164,2010,0.919511365
Simplicity2,WINDPOWER,165,2010,0.920042738
Simplicity2,WINDPOWER,166,2010,0.91787967
Simplicity2,WINDPOWER,167,2010,0.928474362
Simplicity2,WINDPOWER,168,2010,0.926542311
Simplicity2,WINDPOWER,169,2010,0.88066528
Simplicity2,WINDPOWER,170,2010,0.749562063
Simplicity2,WINDPOWER,171,2010,0.601238169
Simplicity2,WINDPOWER,172,2010,0.567180753
Simplicity2,WINDPOWER,173,2010,0.513301076
Simplicity2,WINDPOWER,174,2010,0.222008983
Simplicity2,WINDPOWER,175,2010,0.047759497
Simplicity2,WINDPOWER,176,2010,0.066662535
Simplicity2,WINDPOWER,177,2010,0.192576242
Simplicity2,WINDPOWER,178,2010,0.117911695
Simplicity2,WINDPOWER,179,2010,0.10145864
Simplicity2,WINDPOWER,180,2010,0.112170577
Simplicity2,WINDPOWER,181,2010,0.118804983
Simplicity2,WINDPOWER,182,2010,0.155616528
Simplicity2,WINDPOWER,183,2010,0.165062791
Simplicity2,WINDPOWER,184,2010,0.116503389
Simplicity2,WINDPOWER,185,2010,0.090700192
Simplicity2,WINDPOWER,186,2010,0.07609608
Simplicity2,WINDPOWER,187,2010,0.137371421
Simplicity2,WINDPOWER,188,2010,0.240381272
Simplicity2,WINDPOWER,189,2010,0.287816868
Simplicity2,WINDPOWER,190,2010,0.625350002
Simplicity2,WINDPOWER,191,2010,0.868333857
Simplicity2,WINDPOWER,192,2010,0.916895939
Simplicity2,WINDPOWER,193,2010,0.916574499
Simplicity2,WINDPOWER,194,2010,0.915222436
Simplicity2,WINDPOWER,195,2010,0.890710836
Simplicity2,WINDPOWER,196,2010,0.836789732
Simplicity2,WINDPOWER,197,2010,0.841183843
Simplicity2,WINDPOWER,198,2010,0.885915734
Simplicity2,WINDPOWER,199,2010,0.925393858
Simplicity2,WINDPOWER,200,2010,0.924160415
Simplicity2,WINDPOWER,201,2010,0.903502852
Simplicity2,WINDPOWER,202,2010,0.886745034
Simplicity2,WINDPOWER,203,2010,0.868670258
Simplicity2,WINDPOWER,204,2010,0.892692095
Simplicity2,WINDPOWER,205,2010,0.888211757
Simplicity2,WINDPOWER,206,2010,0.915266232
Simplicity2,WINDPOWER,207,2010,0.919018357
Simplicity2,WINDPOWER,208,2010,0.899847815
Simplicity2,WINDPOWER,209,2010,0.908105223
Simplicity2,WINDPOWER,210,2010,0.885770568
Simplicity2,WINDPOWER,211,2010,0.894640718
Simplicity2,WINDPOWER,212,2010,0.880776341
Simplicity2,WINDPOWER,213,2010,0.785077716
Simplicity2,WINDPOWER,214,2010,0.67890812
Simplicity2,WINDPOWER,215,2010,0.655627271
Simplicity2,WINDPOWER,216,2010,0.697434583
Simplicity2,WINDPOWER,217,2010,0.701495156
Simplicity2,WINDPOWER,218,2010,0.568168073
Simplicity2,WINDPOWER,219,2010,0.588217527
Simplicity2,WINDPOWER,220,2010,0.551576151
Simplicity2,WINDPOWER,221,2010,0.542757132
Simplicity2,WINDPOWER,222,2010,0.56525336
Simplicity2,WINDPOWER,223,2010,0.725530573
Simplicity2,WINDPOWER,224,2010,0.784190722
Simplicity2,WINDPOWER,225,2010,0.881952945
Simplicity2,WINDPOWER,226,2010,0.921434386
Simplicity2,WINDPOWER,227,2010,0.937989794
Simplicity2,WINDPOWER,228,2010,0.938702754
Simplicity2,WINDPOWER,229,2010,0.938768185
Simplicity2,WINDPOWER,230,2010,0.938768185
Simplicity2,WINDPOWER,231,2010,0.938768185
Simplicity2,WINDPOWER,232,2010,0.938768185
Simplicity2,WINDPOWER,233,2010,0.938768185
Simplicity2,WINDPOWER,234,2010,0.938768185
Simplicity2,WINDPOWER,235,2010,0.938768185
Simplicity2,WINDPOWER,236,2010,0.938768185
Simplicity2,WINDPOWER,237,2010,0.916320987
Simplicity2,WINDPOWER,238,2010,0.799974744
