REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
Simplicity2,WINDPOWER,1,2010,1
Simplicity2,WINDPOWER,2,2010,1
Simplicity2,WINDPOWER,3,2010,1
Simplicity2,WINDPOWER,4,2010,1
Simplicity2,WINDPOWER,5,2010,1
Simplicity2,WINDPOWER,6,2010,1
Simplicity2,WINDPOWER,7,2010,1
Simplicity2,WINDPOWER,8,2010,1
Simplicity2,WINDPOWER,9,2010,1
Simplicity2,WINDPOWER,10,2010,1
Simplicity2,WINDPOWER,11,2010,1
Simplicity2,WINDPOWER,12,2010,1
Simplicity2,WINDPOWER,13,2010,1
Simplicity2,WINDPOWER,14,2010,1
Simplicity2,WINDPOWER,15,2010,1
Simplicity2,WINDPOWER,16,2010,1
Simplicity2,WINDPOWER,17,2010,1
Simplicity2,WINDPOWER,18,2010,1
Simplicity2,WINDPOWER,19,2010,1
Simplicity2,WINDPOWER,20,2010,1
Simplicity2,WINDPOWER,21,2010,1
Simplicity2,WINDPOWER,22,2010,1
Simplicity2,WINDPOWER,23,2010,1
Simplicity2,WINDPOWER,24,2010,1
Simplicity2,WINDPOWER,25,2010,1
Simplicity2,WINDPOWER,26,2010,1
Simplicity2,WINDPOWER,27,2010,1
Simplicity2,WINDPOWER,28,2010,1
Simplicity2,WINDPOWER,29,2010,1
Simplicity2,WINDPOWER,30,2010,1
Simplicity2,WINDPOWER,31,2010,1
Simplicity2,WINDPOWER,32,2010,1
Simplicity2,WINDPOWER,33,2010,1
Simplicity2,WINDPOWER,34,2010,1
Simplicity2,WINDPOWER,35,2010,1
Simplicity2,WINDPOWER,36,2010,1
Simplicity2,WINDPOWER,37,2010,1
Simplicity2,WINDPOWER,38,2010,1
Simplicity2,WINDPOWER,39,2010,1
Simplicity2,WINDPOWER,40,2010,1
Simplicity2,WINDPOWER,41,2010,1
Simplicity2,WINDPOWER,42,2010,1
Simplicity2,WINDPOWER,43,2010,1
Simplicity2,WINDPOWER,44,2010,1
Simplicity2,WINDPOWER,45,2010,1
Simplicity2,WINDPOWER,46,2010,1
Simplicity2,WINDPOWER,47,2010,1
Simplicity2,WINDPOWER,48,2010,1
Simplicity2,WINDPOWER,49,2010,1
Simplicity2,WINDPOWER,50,2010,1
Simplicity2,WINDPOWER,51,2010,1
Simplicity2,WINDPOWER,52,2010,1
Simplicity2,WINDPOWER,53,2010,1
Simplicity2,WINDPOWER,54,2010,1
Simplicity2,WINDPOWER,55,2010,1
Simplicity2,WINDPOWER,56,2010,1
Simplicity2,WINDPOWER,57,2010,1
