REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
Simplicity2,WINDPOWER,1,2010,0.10823059
Simplicity2,WINDPOWER,2,2010,0.108227742
Simplicity2,WINDPOWER,3,2010,0.108137144
Simplicity2,WINDPOWER,4,2010,0.108156871
Simplicity2,WINDPOWER,5,2010,0.108094265
Simplicity2,WINDPOWER,6,2010,0.108084883
Simplicity2,WINDPOWER,7,2010,0.108042937
Simplicity2,WINDPOWER,8,2010,0.107969605
Simplicity2,WINDPOWER,9,2010,0.107945643
Simplicity2,WINDPOWER,10,2010,0.107885489
Simplicity2,WINDPOWER,11,2010,0.107883782
Simplicity2,WINDPOWER,12,2010,0.107834409
Simplicity2,WINDPOWER,13,2010,0.107835411
Simplicity2,WINDPOWER,14,2010,0.107830093
Simplicity2,WINDPOWER,15,2010,0.107684725
Simplicity2,WINDPOWER,16,2010,0.107637475
Simplicity2,WINDPOWER,17,2010,0.107654402
Simplicity2,WINDPOWER,18,2010,0.107627727
Simplicity2,WINDPOWER,19,2010,0.107645033
Simplicity2,WINDPOWER,20,2010,0.107640826
Simplicity2,WINDPOWER,21,2010,0.10758059
Simplicity2,WINDPOWER,22,2010,0.107494241
Simplicity2,WINDPOWER,23,2010,0.107508528
Simplicity2,WINDPOWER,24,2010,0.107501408
Simplicity2,WINDPOWER,25,2010,0.107516853
Simplicity2,WINDPOWER,26,2010,0.107427783
Simplicity2,WINDPOWER,27,2010,0.107411437
Simplicity2,WINDPOWER,28,2010,0.10739176
Simplicity2,WINDPOWER,29,2010,0.107352502
Simplicity2,WINDPOWER,30,2010,0.107355202
Simplicity2,WINDPOWER,31,2010,0.107370669
Simplicity2,WINDPOWER,32,2010,0.107402018
Simplicity2,WINDPOWER,33,2010,0.107399349
Simplicity2,WINDPOWER,34,2010,0.107448701
Simplicity2,WINDPOWER,35,2010,0.107372314
Simplicity2,WINDPOWER,36,2010,0.107433306
Simplicity2,WINDPOWER,37,2010,0.107482738
Simplicity2,WINDPOWER,38,2010,0.107459454
Simplicity2,WINDPOWER,39,2010,0.107387441
Simplicity2,WINDPOWER,40,2010,0.10739344
Simplicity2,WINDPOWER,41,2010,0.10741651
Simplicity2,WINDPOWER,42,2010,0.107459433
Simplicity2,WINDPOWER,43,2010,0.107486784
Simplicity2,WINDPOWER,44,2010,0.107472414
Simplicity2,WINDPOWER,45,2010,0.10745355
Simplicity2,WINDPOWER,46,2010,0.10750419
Simplicity2,WINDPOWER,47,2010,0.107587357
Simplicity2,WINDPOWER,48,2010,0.107915189
Simplicity2,WINDPOWER,49,2010,0.108022664
Simplicity2,WINDPOWER,50,2010,0.107991661
Simplicity2,WINDPOWER,51,2010,0.108052033
Simplicity2,WINDPOWER,52,2010,0.10816514
Simplicity2,WINDPOWER,53,2010,0.108352542
Simplicity2,WINDPOWER,54,2010,0.108362345
Simplicity2,WINDPOWER,55,2010,0.108550927
Simplicity2,WINDPOWER,56,2010,0.108628064
Simplicity2,WINDPOWER,57,2010,0.108586741
Simplicity2,WINDPOWER,58,2010,0.108641867
Simplicity2,WINDPOWER,59,2010,0.108778257
Simplicity2,WINDPOWER,60,2010,0.109031598
Simplicity2,WINDPOWER,61,2010,0.109320143
Simplicity2,WINDPOWER,62,2010,0.109170839
Simplicity2,WINDPOWER,63,2010,0.109223027
Simplicity2,WINDPOWER,64,2010,0.109373688
Simplicity2,WINDPOWER,65,2010,0.109465128
Simplicity2,WINDPOWER,66,2010,0.109454121
Simplicity2,WINDPOWER,67,2010,0.109548603
Simplicity2,WINDPOWER,68,2010,0.109699652
Simplicity2,WINDPOWER,69,2010,0.109801947
Simplicity2,WINDPOWER,70,2010,0.110157951
Simplicity2,WINDPOWER,71,2010,0.110541465
Simplicity2,WINDPOWER,72,2010,0.110664285
Simplicity2,WINDPOWER,73,2010,0.1111467
Simplicity2,WINDPOWER,74,2010,0.111586685
Simplicity2,WINDPOWER,75,2010,0.111717086
Simplicity2,WINDPOWER,76,2010,0.11205373
Simplicity2,WINDPOWER,77,2010,0.112241163
Simplicity2,WINDPOWER,78,2010,0.112348739
Simplicity2,WINDPOWER,79,2010,0.112888002
Simplicity2,WINDPOWER,80,2010,0.113579442
Simplicity2,WINDPOWER,81,2010,0.113805316
Simplicity2,WINDPOWER,82,2010,0.1136752
Simplicity2,WINDPOWER,83,2010,0.113552106
Simplicity2,WINDPOWER,84,2010,0.114078098
Simplicity2,WINDPOWER,85,2010,0.114461261
Simplicity2,WINDPOWER,86,2010,0.114910688
Simplicity2,WINDPOWER,87,2010,0.115301451
Simplicity2,WINDPOWER,88,2010,0.115896736
Simplicity2,WINDPOWER,89,2010,0.115735865
Simplicity2,WINDPOWER,90,2010,0.116205236
Simplicity2,WINDPOWER,91,2010,0.116117323
Simplicity2,WINDPOWER,92,2010,0.116320887
Simplicity2,WINDPOWER,93,2010,0.116686327
Simplicity2,WINDPOWER,94,2010,0.117116297
Simplicity2,WINDPOWER,95,2010,0.117288016
Simplicity2,WINDPOWER,96,2010,0.117546424
Simplicity2,WINDPOWER,97,2010,0.117570307
Simplicity2,WINDPOWER,98,2010,0.117862336
Simplicity2,WINDPOWER,99,2010,0.118136597
Simplicity2,WINDPOWER,100,2010,0.118528883
Simplicity2,WINDPOWER,101,2010,0.118799223
Simplicity2,WINDPOWER,102,2010,0.11939642
Simplicity2,WINDPOWER,103,2010,0.119511277
Simplicity2,WINDPOWER,104,2010,0.120269926
Simplicity2,WINDPOWER,105,2010,0.12080077
Simplicity2,WINDPOWER,106,2010,0.121109313
Simplicity2,WINDPOWER,107,2010,0.121727428
Simplicity2,WINDPOWER,108,2010,0.122583195
Simplicity2,WINDPOWER,109,2010,0.123238513
Simplicity2,WINDPOWER,110,2010,0.123275546
Simplicity2,WINDPOWER,111,2010,0.123922698
Simplicity2,WINDPOWER,112,2010,0.123771474
Simplicity2,WINDPOWER,113,2010,0.124779634
Simplicity2,WINDPOWER,114,2010,0.12530119
Simplicity2,WINDPOWER,115,2010,0.125320999
Simplicity2,WINDPOWER,116,2010,0.126014976
Simplicity2,WINDPOWER,117,2010,0.126768618
Simplicity2,WINDPOWER,118,2010,0.127279974
Simplicity2,WINDPOWER,119,2010,0.127977982
Simplicity2,WINDPOWER,120,2010,0.128236277
Simplicity2,WINDPOWER,121,2010,0.128929315
Simplicity2,WINDPOWER,122,2010,0.129499134
Simplicity2,WINDPOWER,123,2010,0.129387836
Simplicity2,WINDPOWER,124,2010,0.129870364
Simplicity2,WINDPOWER,125,2010,0.130158371
Simplicity2,WINDPOWER,126,2010,0.13061776
Simplicity2,WINDPOWER,127,2010,0.131249799
Simplicity2,WINDPOWER,128,2010,0.13127028
Simplicity2,WINDPOWER,129,2010,0.131837021
Simplicity2,WINDPOWER,130,2010,0.131892928
Simplicity2,WINDPOWER,131,2010,0.132082628
Simplicity2,WINDPOWER,132,2010,0.132009773
Simplicity2,WINDPOWER,133,2010,0.132258424
Simplicity2,WINDPOWER,134,2010,0.132786853
Simplicity2,WINDPOWER,135,2010,0.132797998
Simplicity2,WINDPOWER,136,2010,0.133322385
Simplicity2,WINDPOWER,137,2010,0.133639
Simplicity2,WINDPOWER,138,2010,0.13411541
Simplicity2,WINDPOWER,139,2010,0.134361587
Simplicity2,WINDPOWER,140,2010,0.13495239
Simplicity2,WINDPOWER,141,2010,0.134939249
Simplicity2,WINDPOWER,142,2010,0.135595819
Simplicity2,WINDPOWER,143,2010,0.135569849
Simplicity2,WINDPOWER,144,2010,0.13598579
Simplicity2,WINDPOWER,145,2010,0.13635083
Simplicity2,WINDPOWER,146,2010,0.136654518
Simplicity2,WINDPOWER,147,2010,0.136969115
Simplicity2,WINDPOWER,148,2010,0.137297132
Simplicity2,WINDPOWER,149,2010,0.137519053
Simplicity2,WINDPOWER,150,2010,0.137953075
