REGION,FUEL,TIMESLICE,YEAR,VALUE
Simplicity2,ELECTRICITY,1,2010,0.000104968
Simplicity2,ELECTRICITY,2,2010,0.000102283
Simplicity2,ELECTRICITY,3,2010,0.000100004
Simplicity2,ELECTRICITY,4,2010,9.80997E-05
Simplicity2,ELECTRICITY,5,2010,9.80834E-05
Simplicity2,ELECTRICITY,6,2010,9.56907E-05
Simplicity2,ELECTRICITY,7,2010,9.99878E-05
Simplicity2,ELECTRICITY,8,2010,0.000105343
Simplicity2,ELECTRICITY,9,2010,0.000107003
Simplicity2,ELECTRICITY,10,2010,0.000110844
Simplicity2,ELECTRICITY,11,2010,0.000115402
Simplicity2,ELECTRICITY,12,2010,0.00011729
Simplicity2,ELECTRICITY,13,2010,0.000117404
Simplicity2,ELECTRICITY,14,2010,0.000116981
Simplicity2,ELECTRICITY,15,2010,0.000118918
Simplicity2,ELECTRICITY,16,2010,0.00012035
Simplicity2,ELECTRICITY,17,2010,0.000125038
Simplicity2,ELECTRICITY,18,2010,0.00012354
Simplicity2,ELECTRICITY,19,2010,0.000122498
Simplicity2,ELECTRICITY,20,2010,0.000117209
Simplicity2,ELECTRICITY,21,2010,0.000115597
Simplicity2,ELECTRICITY,22,2010,0.000113156
Simplicity2,ELECTRICITY,23,2010,0.000112146
Simplicity2,ELECTRICITY,24,2010,0.000112065
Simplicity2,ELECTRICITY,25,2010,0.000104545
Simplicity2,ELECTRICITY,26,2010,0.000101485
Simplicity2,ELECTRICITY,27,2010,0.000102983
Simplicity2,ELECTRICITY,28,2010,0.000102267
Simplicity2,ELECTRICITY,29,2010,0.000101648
Simplicity2,ELECTRICITY,30,2010,9.92228E-05
Simplicity2,ELECTRICITY,31,2010,0.000100281
Simplicity2,ELECTRICITY,32,2010,0.000104073
Simplicity2,ELECTRICITY,33,2010,0.000106385
Simplicity2,ELECTRICITY,34,2010,0.000109656
Simplicity2,ELECTRICITY,35,2010,0.000113286
Simplicity2,ELECTRICITY,36,2010,0.000112358
Simplicity2,ELECTRICITY,37,2010,0.000116704
Simplicity2,ELECTRICITY,38,2010,0.000115792
Simplicity2,ELECTRICITY,39,2010,0.000113107
Simplicity2,ELECTRICITY,40,2010,0.000111219
Simplicity2,ELECTRICITY,41,2010,0.000120301
Simplicity2,ELECTRICITY,42,2010,0.000123215
Simplicity2,ELECTRICITY,43,2010,0.000121929
Simplicity2,ELECTRICITY,44,2010,0.000116378
Simplicity2,ELECTRICITY,45,2010,0.000112765
Simplicity2,ELECTRICITY,46,2010,0.000109135
Simplicity2,ELECTRICITY,47,2010,0.000108989
Simplicity2,ELECTRICITY,48,2010,9.92879E-05
