REGION,FUEL,TIMESLICE,YEAR,VALUE
Simplicity2,ELECTRICITY,1,2010,0.000612151
Simplicity2,ELECTRICITY,2,2010,0.000646039
Simplicity2,ELECTRICITY,3,2010,0.000700338
Simplicity2,ELECTRICITY,4,2010,0.000668484
Simplicity2,ELECTRICITY,5,2010,0.000605526
Simplicity2,ELECTRICITY,6,2010,0.000721577
Simplicity2,ELECTRICITY,7,2010,0.000744398
Simplicity2,ELECTRICITY,8,2010,0.000778727
Simplicity2,ELECTRICITY,9,2010,0.00076323
Simplicity2,ELECTRICITY,10,2010,0.000908485
Simplicity2,ELECTRICITY,11,2010,0.000904984
Simplicity2,ELECTRICITY,12,2010,0.000818474
